run_id,mol_id,score_all7,score_scoring6,tanimoto,key_hbond,n_heavy
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0087,0.823529,0.4,0.666667,1,29
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0088,0.764706,0.6,0.764706,1,18
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0089,0.764706,0.4,0.5,1,36
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0090,0.705882,0.4,0.666667,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0092,0.823529,0.6,0.7,1,27
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0093,0.705882,0.4,0.545455,1,24
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0094,0.705882,0.6,0.571429,1,19
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0095,0.705882,0.4,0.6,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0096,0.647059,0.4,0.578947,1,20
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0097,0.823529,0.4,0.823529,1,21
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0098,0.647059,0.4,0.647059,1,16
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0099,0.588235,0.2,0.5,1,17
2026-08-23-6tgu-s0-n100-prep,2026-08-23-6tgu-s0-n100-prep-0100,0.764706,0.6,0.684211,1,14
